analyte	SAT_1	SAT_10	SAT_11	SAT_12	SAT_13	SAT_14	SAT_15	SAT_16	SAT_17	SAT_18	SAT_19	SAT_2	SAT_20	SAT_21	SAT_22	SAT_23	SAT_24	SAT_25	SAT_26	SAT_27	SAT_28	SAT_29	SAT_3	SAT_30	SAT_31	SAT_32	SAT_33	SAT_34	SAT_35	SAT_36	SAT_38	SAT_39	SAT_4	SAT_40	SAT_41	SAT_42	SAT_43	SAT_45	SAT_46	SAT_47	SAT_48	SAT_49	SAT_5	SAT_50	SAT_51	SAT_52	SAT_53	SAT_54	SAT_55	SAT_56	SAT_57	SAT_58	SAT_59	SAT_6	SAT_7	SAT_8	SAT_9	VAT__1	VAT__10	VAT__11	VAT__12	VAT__13	VAT__16	VAT__17	VAT__18	VAT__19	VAT__2	VAT__20	VAT__21	VAT__23	VAT__24	VAT__25	VAT__26	VAT__27	VAT__29	VAT__3	VAT__30	VAT__31	VAT__32	VAT__33	VAT__35	VAT__36	VAT__37	VAT__4	VAT__40	VAT__41	VAT__42	VAT__44	VAT__45	VAT__46	VAT__47	VAT__48	VAT__49	VAT__5	VAT__52	VAT__53	VAT__54	VAT__55	VAT__56	VAT__57	VAT__58	VAT__59	VAT__6	VAT__7	VAT__8	VAT__9
1,5-anhydroglucitol	1046.0377	275.8413	361.2619	847.8261	606.0798	143.3002	2516.2252	2481.8702	554.9793	581.7175	927.8351	1157.7718	1139.339	2607.1182	436.8836	581.1007	1164.5729	1011.0793	715.7816	254.7368	477.3157	195.2965	804.0915	596.8275	1067.6533	6043.4322	930.0218	709.4595	1445.5229	618.8811	1117.7686	2941.6499	405.9829	1248.3745	2079.9331	1676.7857	441.9002	701.1417	1454.9521	1032.2802	5550	2740	345.0106	1077.3234	816.7354	999.3943	1508.4906	1079.588	718.9409	5132.8125	1453.1583	2446.8153	2028.581	600	653.0398	687.2385	2176.8531	1512.7029	775.1678	431.2736	911.1181	703.6082	443.2121	750	2624.5376	544.757	1466.8737	571.1382	860.8522	932.1862	177.7251	1442.3473	720.4013	403.1188	513.1332	1171.5657	915.9613	1028.3976	2521.7803	691.2533	641.527	2149.9033	1188.6792	781.4189	2934.2466	4409.9437	950.5044	1068.8742	513.0682	7905.765	914.7059	4405.3056	5143.8746	610.6337	522.9759	2064.3863	843.3269	1351.1217	1658.0769	473.2566	437.963	947.4213	456.2384	2478.772	981.9936	4131.9018
1-monoolein	390.566	3378.6058	252.3745	213.9946	160.5446	163.7717	421.1921	485.687	151.4523	152.7008	245.3608	256.1708	211.9248	211.472	133.1361	225.9232	3840.4523	281.9871	197.457	272.6316	139.8866	152.3517	158.1137	121.9432	200.8457	1192.7966	202.3205	4327.7027	524.1077	302.0979	957.6446	447.6861	166.6667	401.8205	563.8796	217.5	184.5523	254.869	4413.738	459.478	1374	1121.4286	227.1762	95.9108	228.0495	171.7141	1228.3019	296.8165	207.7393	650.3906	297.0192	274.2038	178.5474	170.7071	336.478	5028.2427	269.1808	905.0812	2228.8591	657.314	546.4824	230.9923	266.1934	216.4751	1464.8582	365.4092	770.1863	962.3984	244.6738	1082.996	234.5972	554.9073	716.388	327.4718	479.3621	243.8512	1402.0556	1169.8783	474.4318	314.295	1144.3203	2390.7157	752.5729	469.2568	713.0137	2532.833	974.1488	863.245	342.6136	4118.6253	1467.6471	2615.178	4414.5299	240.0644	365.4267	725.3521	374.2747	1708.0218	593.0769	629.6547	372.2222	298.3925	268.1564	1027.7596	332.7974	1766.8712
1-monopalmitin	337.3585	201.0216	282.9037	106.9973	188.0937	328.4739	307.947	304.3893	145.2282	123.615	319.5876	241.1608	107.9067	246.7173	197.2387	87.9797	124.3719	168.3345	360.1346	285.2632	286.3894	244.3763	364.0777	280.5684	206.1311	493.6441	107.6867	153.8698	494.9906	368.1818	223.1405	150.9054	511.7521	439.857	302.0067	108.2143	305.5366	445.2653	129.393	376.0302	121	164.2857	331.2102	61.3383	339.4225	307.9952	172.6415	195.6929	114.053	358.3984	475.8694	118.4713	372.226	161.6162	163.522	179.9163	133.6151	99.506	428.8591	214.691	343.907	223.2603	415.2618	239.4636	18.4957	270.4604	159.4203	211.3821	222.7031	210.5263	168.2464	323.267	394.3144	171.2011	153.8462	89.0822	146.9166	352.9412	327.6515	111.6188	340.7821	406.1896	259.8628	89.1892	184.9315	92.8705	71.8789	165.894	289.7727	298.2262	248.0392	401.9476	732.1937	165.9506	369.8031	130.7847	310.4449	531.2712	236.5385	251.8619	122.2222	399.866	260.7076	308.6218	450.4823	107.362
1-monostearin	313.5849	128.0048	91.5875	386.2092	154.8448	257.7543	407.2848	181.2977	219.917	256.5789	249.4845	277.1848	290.6675	437.4568	281.0651	256.336	205.402	270.193	611.4435	289.4737	157.845	215.7464	203.8835	286.5169	176.5328	739.4068	88.1073	424.7543	314.6525	295.8042	453.5124	265.5936	521.3675	372.5618	226.7559	133.9286	235.8168	299.1941	330.6709	952.9533	214	312.8571	160.2972	217.4721	279.3164	187.1593	341.5094	121.7228	429.7352	330.0781	341.7317	375.4777	301.614	281.8182	406.7086	941.4226	271.1313	500.7057	281.8792	317.7806	490.892	1287.3711	2836.291	344.8276	479.0382	423.913	276.3975	605.6911	474.3675	353.2389	477.4882	240.906	370.2341	315.5275	161.3508	449.91	264.8126	1093.8134	1960.2273	400.4569	363.1285	322.0503	307.4614	573.6486	738.6986	422.1388	209.9622	346.6887	981.8182	863.6364	846.0784	327.4009	1521.3675	1305.0483	305.2516	892.3541	313.3462	410.9449	611.5385	695.6669	482.4074	1087.073	1513.0354	134.226	1642.7653	107.362
2,3-dihydroxypyridine	112.0755	81.1298	102.7815	120.2446	123.4959	94.9132	23.8411	105.916	120.332	95.5679	94.8454	53.0354	24.3033	104.6994	105.5227	34.7574	93.2789	144.7462	155.9461	133.6842	75.6144	168.7117	179.9584	85.2611	112.0507	139.8305	83.7563	110.5651	74.2016	58.7413	106.405	78.4708	95.0855	22.4317	110.3679	112.5	107.6555	132.9752	31.6294	92.7198	49	40	108.2803	123.7918	82.2039	70.8661	78.3019	90.824	116.0896	99.6094	99.0064	14.3312	42.3672	155.5556	66.0377	88.9121	80.9493	104.7989	106.7114	99.3064	108.3543	144.0077	162.378	67.0498	86.0049	93.9898	95.2381	104.6748	108.8549	102.2267	123.2227	60.7412	85.2843	71.6656	81.6135	138.5723	128.7787	141.4807	35.0379	68.5379	95.9032	107.3501	155.6604	101.3514	121.2329	125.2345	129.5712	151.9868	177.2727	178.4922	100	99.7314	68.3761	227.1751	123.6324	101.6097	150.8704	112.1686	193.8462	117.8064	68.5185	123.5767	96.8343	30.3723	111.8971	129.8569
2,5-dihydroxypyrazine NIST	285.283	134.3149	281.886	307.7446	427.4858	428.9702	1964.9007	624.0458	254.1494	125.6925	419.5876	885.5904	1092.6766	1102.9717	882.643	273.7147	349.5603	625.0893	232.2363	233.6842	312.8544	170.7566	404.6463	106.0806	1405.9197	1204.4492	919.1443	409.0909	1056.6688	336.7133	725.2066	189.1348	728.6325	783.1599	1216.0535	605.3571	711.5516	495.6347	2471.885	1826.5797	1155	685.7143	165.6051	442.7509	616.0872	941.2477	1700.9434	459.7378	1680.2444	642.5781	1858.7651	1135.9873	870.5447	119.1919	179.2453	161.0879	1303.9662	992.9428	1018.7919	447.3518	1135.3643	1009.0206	449.8669	728.9272	2099.2602	517.9028	1171.8427	544.7154	561.2517	264.17	110.1896	734.0426	397.3244	657.9297	460.6004	308.6383	1328.5973	969.0669	409.0909	590.4047	1121.0428	1526.1122	993.1389	864.527	1735.274	1879.925	999.6847	918.8742	415.9091	3654.102	1020.5882	3803.8952	1622.5071	467.2395	531.7287	615.6942	613.1528	6315.0918	669.2308	1321.2593	259.2593	203.9518	205.7728	565.3168	85.8521	2474.4376
2-deoxytetronic acid NIST	369.0566	243.3894	370.4206	257.8125	391.387	226.1166	682.4503	754.771	279.0456	304.3629	252.5773	270.1801	410.2398	425.0173	492.1105	336.7125	349.5603	344.1744	252.4308	264.2105	366.7297	335.3783	325.5895	441.1765	491.5433	670.5508	519.942	725.1229	576.7063	190.9091	769.6281	446.6801	429.4872	411.5735	393.311	437.1429	316.8148	380.7925	371.885	322.4588	653	615.7143	260.0849	308.9219	291.6912	669.5942	540.566	491.573	374.7454	404.2969	469.4819	353.5032	696.0323	185.8586	334.3816	310.6695	226.2679	403.3169	297.9866	215.6368	497.4874	476.482	319.4321	282.567	442.9716	458.4399	287.7847	268.2927	278.6285	402.834	394.5498	278.9979	297.9933	263.7691	324.5779	356.3287	319.2261	451.8256	431.8182	306.4621	559.5903	514.5068	512.0069	409.4595	519.863	609.2871	433.1652	616.8874	400.5682	882.4834	339.2157	415.0437	603.9886	634.8013	366.5208	404.4266	700.1934	407.8858	510	324.9831	298.1481	264.2331	229.9814	531.0255	499.6785	384.4581
2-hydroxybutanoic acid	1744.5283	563.4014	1899.9322	815.2174	1223.5592	1539.0819	9843.3775	9789.1221	1286.3071	542.2438	1132.9897	784.523	1456.2541	2091.9143	1412.2288	2350.4707	1765.7035	613.2952	1694.0912	908.4211	362.949	467.2802	2577.6699	1033.0469	936.5751	6105.9322	1275.9246	2110.8722	7440.8265	1896.5035	6009.2975	7754.5272	2458.3333	1877.4382	3891.9732	2226.4286	3277.8537	1549.362	2057.8275	3214.2857	3798	7110	785.5626	1212.2677	1533.5887	2020.5936	1749.0566	2698.5019	1063.1365	11423.8281	2930.802	3287.5796	6358.1036	1385.8586	742.1384	2300.2092	1892.0676	2165.8433	1585.5705	1857.5032	930.9045	1403.3505	1844.7205	1147.5096	3083.2306	2995.2046	1451.3458	1554.878	809.9201	3593.1174	791.4692	1205.5594	965.2174	810.219	2863.0394	1367.7265	2052.2975	1646.0446	1661.9318	1886.7493	2922.7188	4245.648	1889.7942	579.7297	5936.3014	10532.364	1168.0328	2581.7881	2957.3864	5270.51	3453.9216	2648.4218	13841.8803	1018.2599	1398.2495	2626.7606	2228.2398	2671.6519	3390	865.2674	1096.2963	2830.2076	2447.8585	4993.7949	2568.8103	3458.0777
2-hydroxyglutaric acid	120	99.1587	149.5929	139.606	95.9468	150.7444	143.0464	43.8931	102.6971	129.8476	145.3608	47.0314	270.2528	123.3587	126.2327	131.4265	183.7312	124.3746	164.9215	92.6316	81.2854	101.227	120.6657	111.0377	164.9049	167.3729	169.6882	79.2383	95.8046	143.7063	172.5207	117.7062	137.8205	133.6151	205.6856	154.2857	97.4026	139.0195	116.9329	141.1401	103	208.5714	123.1423	123.7918	53.0348	107.2078	193.3962	126.4045	133.4012	192.3828	124.5564	125.1592	282.4479	129.2929	161.4256	102.5105	51.6905	105.8574	190.2685	166.4565	124.3719	86.018	232.9193	169.5402	248.767	109.335	175.9834	86.3821	134.8202	194.332	136.2559	212.0796	115.3846	182.15	144.4653	136.7726	38.0895	42.5963	219.697	185.0522	143.3892	144.1006	213.5506	143.9189	116.0959	129.4559	153.2156	334.7682	165.3409	465.6319	168.6275	141.0343	176.6382	80.5585	126.9147	36.2173	66.7311	182.5289	176.5385	149.2891	137.963	139.6517	133.1471	88.1777	135.0482	139.0593
2-ketoisocaproic acid	782.2642	904.1466	921.981	826.4266	710.5763	706.2655	7128.4768	1815.8397	1250	705.3324	917.5258	836.5577	799.0927	928.8182	1141.0256	1070.9631	995.9171	474.9821	877.3373	1216.8421	932.8922	886.5031	717.7531	1014.2102	1274.8414	6159.9576	810.3698	1192.2604	1265.1847	1096.1538	1332.6446	5396.3783	1368.5897	1116.71	861.8729	936.4286	2020.8476	1210.8798	2180.5112	789.1484	1126	842.8571	867.3036	1579.1822	2817.0301	4528.1647	1266.0377	928.839	1010.1833	1366.2109	1275.3726	1058.5987	1053.1271	1021.2121	669.8113	837.8661	807.5423	1077.6288	1035.906	808.6381	835.7412	581.8299	1336.291	636.0153	1010.7891	1486.5729	746.3768	762.1951	737.0173	1361.336	887.4408	821.5511	705.3512	665.8925	928.7054	978.1044	1012.0919	2196.7546	553.9773	752.9373	1073.5568	1913.9265	1880.789	1151.3514	1308.9041	1799.7186	938.2093	1491.0596	1476.1364	7239.4678	1132.3529	1028.5426	2505.698	1466.1654	2494.5295	788.7324	1463.2495	860.639	1194.2308	1014.5565	782.4074	948.426	761.6387	2421.9464	760.1286	1259.7137
3-hydroxybutyric acid	7935.8491	2100.3606	11699.7965	539.0625	1644.3952	6659.7395	78296.0265	31065.8397	551.8672	920.3601	1918.5567	763.509	4060.5962	2143.7457	271.2032	9867.8494	5045.5402	728.02	525.0561	2709.4737	465.9735	1525.5624	484.7434	576.0079	7895.3488	11085.8051	589.5577	3878.9926	13828.7414	1560.8392	25285.124	18280.6841	1134.6154	2491.8726	6928.0936	3276.4286	1389.2686	3587.3069	2617.5719	7371.2225	15850	9222.8571	305.7325	1999.6283	4385.0913	5090.5512	5236.7925	4599.2509	1641.5479	25038.0859	7363.7331	1647.1338	19150.9751	1156.5657	1592.2432	3764.6444	5653.7711	9733.5921	2598.3221	8329.4451	519.1583	619.5232	2459.6273	1042.1456	6918.3107	1848.1458	810.559	3200.2033	238.6818	12923.0769	332.9384	2389.499	493.6455	1562.7074	10242.9644	372.5255	547.763	6710.4462	785.9848	2079.6345	3692.7374	6749.5164	551.8868	781.4189	8129.7945	28756.0976	293.1904	6721.1921	1641.4773	37149.6674	5254.902	8834.7884	19015.6695	122.449	2060.1751	2950.7042	5891.6828	9665.8736	4908.4615	665.1997	362.037	7767.2472	544.6927	19455.9112	11797.4276	12452.9652
3-phosphoglycerate	227.5472	100.9615	425.3731	151.8342	131.0956	78.1638	108.2781	235.687	158.7137	117.3823	119.5876	325.2168	383.0201	100.5529	89.7436	213.9754	167.7136	197.2838	131.264	153.6842	220.2268	167.6892	130.0277	117.9775	142.7061	280.7203	251.269	117.9361	154.9781	105.9441	105.3719	232.3944	96.1538	128.7386	169.5652	109.2857	103.5543	155.1377	559.7444	171.0165	366	270	163.482	138.29	313.789	116.2932	556.6038	111.4232	244.3992	228.5156	467.3527	98.4076	291.5266	91.9192	104.8218	189.3305	190.1821	214.8906	223.4899	168.348	123.4296	44.4588	154.3922	154.2146	624.2293	160.1662	267.0807	95.5285	31.9574	319.8381	119.6682	232.6699	147.4916	100.5309	183.8649	79.1842	102.4788	296.6531	268.9394	156.658	158.2868	770.793	87.4786	221.9595	348.2877	448.8743	97.4149	135.0993	288.0682	235.0333	267.6471	521.8267	207.9772	220.7304	171.7724	522.1328	114.1199	645.4793	185.7692	85.3081	100.9259	281.3128	77.2812	114.631	142.7653	744.3763
5-aminovaleric acid	134.717	118.9904	87.517	104.9592	90.247	87.469	218.543	80.1527	125.5187	143.3518	101.0309	119.0794	111.7952	160.6773	137.0809	81.4627	91.3945	120.0858	90.8751	176.8421	152.1739	102.2495	101.9417	121.9432	118.3932	116.5254	106.599	126.2285	103.3187	130.0699	196.281	95.5734	74.7863	101.4304	119.398	135	114.8325	91.6723	97.7636	98.9011	171	142.8571	159.2357	136.0595	96.3465	165.3543	124.5283	113.2959	91.6497	112.3047	146.9127	86.9427	102.8917	97.9798	267.2956	106.6946	176.528	616.0903	164.094	149.4325	460.7412	1514.4974	102.4845	93.8697	242.2935	132.3529	504.1408	1475.6098	249.6671	422.0648	123.2227	321.208	495.6522	306.5693	270.1689	116.9766	193.1681	509.6349	290.7197	124.3473	76.3501	3058.9942	325.4717	740.8784	93.4932	372.8893	441.6772	134.106	209.6591	920.1774	306.8627	504.7011	2611.1111	455.9613	1318.3807	233.4004	117.0213	222.2978	396.9231	1293.8389	224.0741	152.7127	129.4227	130.307	922.1865	468.3027
acetophenone NIST	1110.566	1628.9062	1344.3012	1217.731	1986.3838	1022.6427	1177.1523	2119.2748	1404.5643	1009.6953	1401.0309	590.3936	1559.3001	632.3428	975.3452	2284.2143	1826.005	1384.203	1302.543	850.5263	1073.724	1719.8364	732.3162	697.9511	1880.5497	867.5847	1431.4721	802.5184	1183.469	971.3287	991.7355	1434.6076	1303.4188	1092.3277	823.7458	943.9286	1189.337	1284.4191	1064.8562	1320.7418	762	2090	1980.8917	722.6766	1129.6405	1078.4373	948.1132	1479.4007	1300.4073	1849.6094	712.2072	941.0828	1983.1876	757.5758	1135.2201	2556.4854	792.9129	1199.3649	1620.8054	1850.8827	1011.9347	2172.6804	2745.7853	1047.8927	598.3354	1157.6087	516.5631	1406.5041	684.0879	1555.668	2023.6967	1099.5196	1218.0602	874.9171	1919.3246	745.9508	770.8585	1947.2617	722.5379	1660.5744	1236.4991	1078.3366	1368.7822	1055.0676	1067.4658	1197.4672	824.7163	1443.3775	1939.7727	1417.9601	1115.6863	1153.4587	3736.4672	3866.8099	1065.6455	996.9819	2752.4178	851.4616	3431.5385	927.2173	975	2000.3349	551.2104	794.5787	1993.8907	881.3906
adenosine	175.4717	74.8197	82.4288	193.6141	122.5459	105.1489	207.6159	875	128.6307	108.0332	158.7629	199.1328	75.8263	267.4499	189.3491	281.3179	130.9673	132.9521	188.4817	129.4737	208.8847	147.2393	142.5104	127.8916	160.6765	478.8136	140.3191	150.1843	456.4809	173.0769	235.5372	633.8028	117.5214	176.528	319.0635	294.6429	341.4217	575.2183	293.2907	282.2802	111	702.8571	114.6497	215.2416	197.9965	325.2574	200.9434	260.2996	219.9593	115.2344	191.6253	141.4013	891.7283	170.7071	102.7254	174.6862	243.8231	204.3049	196.3087	154.1614	144.1583	130.4768	181.0115	156.1303	136.8681	140.0256	152.1739	889.2276	97.8695	180.1619	167.0616	303.7062	180.602	271.7319	681.0507	160.168	175.9371	360.5477	215.9091	138.0548	492.5512	1318.1818	353.7736	783.4459	484.9315	561.4447	267.6545	332.7815	230.1136	492.2395	280.3922	447.2801	2896.0114	238.4533	278.9934	149.8994	144.1006	1015.6356	1104.2308	451.9296	197.2222	146.6845	198.324	745.5911	132.1543	167.6892
adenosine-5-monophosphate	254.717	99.1587	162.8223	226.2228	142.4953	636.4764	1479.1391	257.6336	68.4647	171.3989	304.1237	340.2268	498.7038	1034.5542	168.6391	312.8168	266.6457	329.1637	178.3844	249.4737	168.242	185.0716	560.6796	99.1408	632.1353	431.1441	143.5823	199.0172	896.0551	227.6224	637.3967	1053.3199	508.547	335.5007	446.4883	285	367.054	110.8126	917.2524	262.706	176	365.7143	111.465	177.3234	273.1291	648.6978	644.3396	198.5019	847.2505	331.0547	1189.1412	218.7898	1312.3739	145.4545	133.1237	163.1799	1099.1547	425.5469	154.0268	102.1438	465.4523	375.9665	286.1579	148.4674	813.8101	170.7161	339.5445	321.1382	353.5286	128.5425	148.1043	245.024	80.2676	484.7379	305.8161	470.6059	165.0544	232.7586	266.0985	327.0235	851.0242	960.3482	469.554	668.9189	1243.1507	550.1876	671.5006	846.3576	148.2955	279.3792	135.2941	410.0067	772.0798	211.0634	252.7352	302.8169	390.7157	1066.6213	387.6923	199.0521	66.6667	320.4956	184.3575	161.659	95.4984	1579.7546
adipic acid	798.1132	346.1538	448.7788	767.3234	664.9778	395.4715	709.2715	462.7863	750	595.2216	262.8866	511.3409	425.7939	530.7533	512.8205	632.1506	699.1206	1053.9671	691.0995	816.8421	487.7127	352.7607	476.4216	574.0251	698.7315	1054.0254	757.0703	502.1499	479.9624	608.3916	711.7769	830.9859	757.4786	755.8518	711.3712	696.4286	920.7109	682.0013	498.4026	431.6621	728	674.2857	483.0149	789.5911	460.5186	652.3319	643.3962	328.6517	412.4236	547.8516	952.8034	606.6879	699.0585	482.8283	454.9266	565.8996	672.9519	585.3917	652.349	406.6835	486.1809	473.5825	657.4978	529.6935	568.7423	362.532	574.5342	1090.4472	730.0266	754.0486	761.8483	675.3603	881.9398	992.3689	492.4953	762.1476	649.3349	1115.1116	464.9621	548.3029	446.9274	775.6286	1065.1801	568.5811	710.9589	976.5478	438.8398	525.4967	652.8409	1207.3171	519.6078	755.5406	1042.735	940.9237	624.7265	632.7968	706.9632	502.7192	630	851.0494	598.1481	1050.9042	527.933	728.9353	551.7685	714.7239
alanine	10678.8679	4820.012	14329.3759	21840.6929	14467.0678	21995.6576	33889.0728	46635.4962	10470.9544	7726.4543	22447.4227	19807.2048	63763.1238	41778.1617	22916.1736	12824.4026	16608.3543	27291.6369	14478.3096	13410.5263	11209.8299	9526.5849	12525.3121	5459.6827	23478.8583	54917.3729	33782.0885	22194.1032	25682.2167	16096.1539	45479.3388	32836.0161	16557.6923	29644.0182	49542.1405	23598.2143	24304.5113	14161.8536	59167.0926	20396.2912	69895	49760	12657.1125	10444.2379	40119.0336	29509.3882	28931.1321	21636.7041	24543.7882	52916.0156	41238.8219	53101.9108	25422.3268	13243.4343	17216.9811	24395.3975	38483.0949	39898.7297	33491.2752	37290.9836	30167.7136	48346.9716	28221.8279	25903.2567	56766.9544	57451.7263	47167.7019	47986.7886	24074.9001	39446.3563	4951.4218	40791.3521	18691.3043	47793.9615	30533.7711	24354.5291	35779.6251	64048.1744	55664.7727	16273.8251	34763.5009	62757.2534	31169.3825	44652.3649	48697.6027	103719.5122	31204.918	33415.2318	22764.2045	378355.8758	35015.6863	114019.1404	162944.4444	35012.3523	42192.5602	57586.5191	34480.6576	77954.1129	98198.0769	67129.3162	30782.4074	41298.7274	25970.2048	37543.1091	40843.4084	99035.7873
alpha-ketoglutarate	105.283	126.2019	118.0461	116.1685	84.5472	102.3573	124.1722	285.3053	97.5104	78.9474	100	191.1274	92.3526	91.2232	90.7298	215.0615	189.3844	92.2087	133.5079	105.2632	92.6276	95.092	126.9071	97.158	136.3636	243.6441	167.5127	54.3612	114.5899	123.7762	173.5537	176.0563	85.4701	140.4421	115.3846	168.2143	151.743	148.086	169.6486	172.0467	165	155.7143	101.9108	151.6729	177.6665	200.7874	261.3208	129.2135	93.6864	171.875	174.5919	142.3567	168.46	102.0202	150.9434	93.0962	225.2926	133.3804	120.8054	146.5952	101.7588	108.2474	208.9618	90.0383	137.7928	123.7212	113.8716	105.6911	109.8535	394.7368	95.9716	127.6596	103.3445	112.4751	251.4071	102.5795	151.451	247.9716	208.3333	93.9948	110.8007	190.5222	129.9314	175.3378	203.4247	222.3265	98.3607	129.1391	185.7955	282.7051	158.8235	123.9087	217.9487	235.2309	161.9256	231.3883	165.3772	66.2814	338.0769	108.6662	71.2963	98.4595	108.0074	235.1404	118.6495	116.5644
aminomalonate	127.9245	94.6514	103.7992	172.2147	65.5478	127.4814	288.0795	151.7176	131.7427	65.4432	167.0103	249.1661	264.42	220.8017	227.8107	180.3041	110.2387	135.0965	107.7038	189.4737	141.7769	138.0368	204.9237	127.8916	125.7928	323.0932	225.1632	152.9484	287.4139	143.7063	390.4959	111.67	161.3248	165.7997	455.5184	238.9286	130.2119	105.7757	75.7188	236.9505	398	287.1429	123.1423	148.3271	121.0961	174.4397	227.3585	158.2397	289.2057	249.0234	372.6047	267.5159	177.5387	127.2727	83.8574	232.2176	347.2042	173.6062	231.5436	248.739	177.1357	220.3608	363.354	197.318	316.2762	137.1483	142.8571	237.8049	185.7523	194.332	124.4076	202.814	143.4783	132.3822	139.7749	126.8746	93.4099	450.3043	376.8939	163.5117	196.4618	355.8994	214.837	153.0405	316.4384	678.2364	89.8487	229.4702	189.2045	3435.6984	178.4314	419.0732	1880.3419	117.6155	294.3107	340.0402	161.5087	576.1387	418.8462	243.7373	146.2963	319.491	153.6313	200.8491	202.5723	540.8998
arachidic acid	2158.8679	1081.7308	1573.27	1618.2065	1326.1558	1462.7792	2438.7417	2108.7786	1360.9959	1844.8753	1621.6495	1336.8913	1300.7129	1642.018	1557.1992	1847.5742	1140.0754	1796.9979	1258.7883	2829.4737	1295.8412	1567.4847	1162.9681	1203.5691	2026.4271	2189.6186	1964.467	1618.8575	2642.1415	3521.3287	2194.2149	1986.9215	1070.5128	2056.8921	1923.4114	2413.9286	1814.7642	2072.1961	2623.3227	2133.5852	1782	2452.8571	1478.7686	1979.5539	1614.9087	2016.9594	991.5094	1674.1573	2315.6823	1567.3828	1864.088	1504.7771	2630.8003	1342.4242	1512.5786	2266.7364	1677.5033	1738.1793	1113.4228	1443.2535	1677.1357	1707.7964	2765.7498	812.2605	2154.7472	1036.7647	1493.7888	1323.1707	1503.9947	1453.4413	1386.2559	2031.2286	1307.3579	1871.2674	1111.6323	686.5627	1019.347	3179.5132	1581.4394	2579.9608	2068.9013	3947.7756	3055.3173	1784.7973	2763.6986	2487.8049	1109.3947	1852.649	2427.2727	3797.1175	1488.2353	2427.8039	4820.5128	2743.8238	1696.9365	1723.34	2438.1044	2111.8287	2156.5385	1697.021	1581.4815	2596.1152	1169.46	1319.7257	2005.4662	2138.0368
arachidonic acid	679.2453	253.3053	332.768	514.606	341.9886	478.2878	640.7285	997.1374	350.6224	666.8975	700	536.3576	859.3649	703.8701	636.0947	931.9334	300.5653	964.975	397.1578	490.5263	528.3554	566.4622	305.8252	311.302	643.7632	1423.7288	667.8753	1078.9312	2121.7909	914.6853	708.6777	1132.7968	714.7436	1532.1847	945.1505	548.5714	920.7109	1093.0154	552.0767	946.772	1277	1420	348.1953	655.7621	1350.6187	687.765	848.1132	514.0449	571.2831	944.3359	1030.5181	501.5924	1655.3463	368.6869	574.4235	1571.1297	772.4317	4372.9711	3982.5503	1101.8285	852.701	8016.1082	1996.4508	506.705	2002.1578	1927.7494	1362.3188	16067.0732	897.8029	2435.2227	841.2322	1700.755	2125.0836	628.069	1532.833	489.5021	4127.2672	6649.5943	2799.2424	825.3916	1137.8026	12065.764	890.223	1789.8649	999.6575	2235.9287	5321.8789	643.7086	1689.2045	6430.1552	2126.4706	1821.3566	64266.3818	725.0269	459.5186	1484.9095	723.4043	7477.5663	3403.8462	7050.1016	1704.6296	5119.8928	1176.9088	387.002	12160.1286	3309.816
asparagine	407.5472	172.1755	259.498	286.3451	216.5928	264.268	356.6225	719.4656	288.3817	226.4543	319.5876	321.2141	579.3908	434.3469	349.1124	311.7306	259.108	406.3617	255.7966	331.5789	245.7467	263.8037	250.6935	241.9035	416.4905	356.9915	363.3067	184.2752	382.2793	335.6643	339.876	768.6117	340.812	276.9831	537.7926	357.8571	292.2078	393.8885	535.7827	530.5632	722	580	272.8238	337.9182	383.6181	357.9649	492.4528	189.1386	269.8574	804.6875	460.9652	637.2611	305.649	218.1818	295.5975	209.205	419.3758	802.3994	422.8188	322.5095	346.7337	395.2964	220.9406	268.1992	927.5586	302.11	504.1408	546.748	464.3808	511.1336	286.7299	548.7303	310.0334	234.9038	436.2101	229.4541	494.2563	537.0183	443.1818	420.0392	373.3706	604.4487	464.4082	403.3784	518.8356	1277.6735	488.966	293.0464	531.8182	5393.5698	600.9804	1195.769	749.2877	415.6821	438.7309	753.5211	471.9536	1082.9368	820.3846	573.7982	476.8519	615.8741	272.8119	373.2854	374.2765	1113.4969
