Samples	S00020370	S00020376	S00020382	S00020388	S00020394	S00020400	S00020406	S00020412	S00020418	S00020424	S00020371	S00020377	S00020383	S00020389	S00020395	S00020401	S00020407	S00020413	S00020419	S00020425	S00020372	S00020378	S00020384	S00020390	S00020396	S00020402	S00020408	S00020414	S00020420	S00020426	S00020367	S00020373	S00020379	S00020385	S00020391	S00020397	S00020403	S00020409	S00020415	S00020421	S00020368	S00020374	S00020380	S00020386	S00020392	S00020398	S00020404	S00020410	S00020416	S00020422	S00020369	S00020375	S00020381	S00020387	S00020393	S00020399	S00020405	S00020411	S00020417	S00020423
Factors	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5
CARNITINE (M+H)+	1319497	8932871	1113811	1391649	1229014	2222414	3413833	1753040	1385756	1842993	1941049	1799763	2555729	1290844	1435179	3212101	1868064	2309875	1551913	1606966	1341186	9066256	1175291	1520227	1608001	3367394	1148402	9323413	1208431	1671814	27195	88487	83126		40214	147842	19525	95314			8121	126899		40656	154417	50324	193421	127845		68227	76137	36614	43759	103178		139231	60412	8363	35627	27142
CARNOSINE (M+H)+	151650	248777	135628	264139	353844	135526	300965	145872	288102	290305	388026	130147	292559	202473	419647	158789	182350	113187	296566	208367	389210	266344	163921	222431	217260	54386	451590	280027	126031	151943																														
CARNOSINE (M+Na)+	90523	86090	81952	78530	108643	44459	98111	51382	94701	109896	119098	65722	96212	68478	120894		83247	58962	93964	104231	123650	87650		65710	106883	76853	143272	57104	69603	97883																														
CHOLESTEROL (M+H)+[-H2O]	528305	434942	522224	435869	448733	327966	503066	355532	608020	538592	431173	335516	385215	418771	578289	306227	351275	279254	403622	573594	433879	679699	460855	478324	224939	372683	466122	398534	786589	333676	91818	414825	49733	58109	59015	79076	148195	115936	192907	237058	144959	112591	82599	106639	63943	132557	60919	137329	141401	166702	243870	207286	101578	200567	75753	181775	170074	158914	213611	134313
CITRIC ACID (M+Na)+																															205057	162484	186018	186618	233186	176028	276194	214584	182703	153883	171797	216704	217289	218546	264827	224698	176035		174520	175529	190693	148100	215139	181839	218960	205600	223011	214993	142494	120066
CITRULLINE (M+Na)+	2619	2561	13228			3377	6355			3347	7447		4150	1931		4699	2589	1448	4390	2961	5307		4860	2613	2732	6556	7273																																	
CORTICOSTERONE (M+Na)+																															13206	24483	12686	22545	41362	9287	14890	61172	16707	9519			14136		44923	29547	14145	111743	15726	24766	14369	22659	14812	5177	7579	24269	23981	132744	7107	8700
CORTISOL (M+H)+																															205364	286246	250884	292672	518680	137288	263739	383492	279265	236053	100583	177341	198896	138097	520715	278345	246009	359191	253323	329724	159333	284884	203913	138516	308927	235444	357523	435290	138270	193989
CORTISOL (M+Na)+			18741		9618	14246	7705	10380	9643	14557	7159	17742	11647	13908	9340	18698		17025	8145	5237	9930	11235	23916	14036	9674		24354	35778		34730																														
CORTISONE (M+H)+																															46188	46948	55632	43201	63996	49025	64276	45940	62975	50510	38029	42039	29195	25428	61174	56171	61349	40826	59415	58006	28483	45419	37433	40959	54949	49237	67605	49042	50680	47949
CORTISONE (M+Na)+																															23204	35276	38381	28351	35388	30765	40866	28074	42603	34877	22849	21469	17155	13162	35572	31700	37266	35679	36929	36203	15846	33093	23166	24052	34886	27776	35652	33075	31679	25275
CREATINE (M+H)+	38090824	25907672	34768752	37506656	31240752	46081452	48179928	37757980	34664800	38943184	40769644	38507736	43553600	39668272	33674024	47095736	40500288	42765884	38363496	41556792	36455928	27705178	39974044	36801228	37578024	43187936	37123176	39387988	34134776																															
DECANOIC ACID (2M+Na)+																															12014	78029		20339		166401	180500	135544	163405	79134	7435	7033	7507	59380	157818	125020	129903	90925	224897	32231	7562	7224		89317	79429	122671	116774	75450	56889	16565
DEHYDROEPIANDROSTERONE (M+H)+																															25555						19167		19905	8478	19550						18187		17524	11851	27461						19121		20897	8172
DEHYDROEPIANDROSTERONE SULFATE M+[-HSO4]																															250374	90858	240179	138664	210460	211003	489498	276945	242952	233079	195460	77544	154543	117689	200351	248508	384242	247173		245866	248759		167759	133664	249085	268057	441854	291645	219441	
DESMOSTEROL (M+H)+[-H2O]		2806				6648	2308				3152	4178		1987	3340	4349	6153				4058	8157	1659	5091	5315		9275		3189	8224	17438	22549	7134	13534	10765	7718	29774	16286	26845	30175	14397	12588	14801	15007	7988	19461	24559	20088	23865	29333	25631	16645	12716	17576	16471	19287	30220	19131	23894	19584
DIPALMITOYL-GLYCEROL (M+H)+[-H2O]	83628	19661	126243	54901	44906	52966	135908	122064	104183	107524	31978	38928	83145	40649	41560	56746	37911	119478	34762	72324	35789	40029	47196	111089	122348	73332	43467	46051	37180	79865	7022	6627	4260	7303	40628	12467	35865	11118	13400	17166	3489			5723	28823	15270	40597	10184	6127	21611	7322		6472	13235	27050	17127	23873	14456	12183	11025
DIPALMITOYL-GLYCEROL (M+Na)+	529798	299533	385136	328470	508649	715673	564488	396600	344291	1048027	432298	594591	548578	605620	381059	663075	479428	513593	476387	905226	407690	338029	608719	447682	762496	509158	523642	218815	366515	541832	5859	13126		4802	49074	15881	50618	9609	19950	22342	6283	3394	8720	7461	37207	16773	37207	12570	8923	22078	11335	10194	8704	15134	35650	23801	33838	17901	19328	12152
DODECENOYLCARNITINE (*) II M+	56055	25030	146902	60817	101974	132242	108337	160468	40018	183871	39809	144748	63443	147060	61408	265525	63723	154689	51927	69045	36693	23210	80729	237563	122738	63593	237472		81809	69846		40035	107821	7350	101829		76895	107334	57054	56252	21581	86980	88034	36441	129307		45500	171968	55266	50113		43846		61389	184941	45227	71361	228568	30679	58879
EICOSADIENOYLCARNITINE (*) (M+H)+	28439	16391	25085		35869	100883		90016		81972		70942	40546		18604		61754					38006	51212	2821	91656	75965	63427		24928	115871																														
EICOSANOYLCARNITINE (*) (M+H)+	24614		33263	39922		216988	123844	135256	47265	76598	54257	90846		65444		123151	77817	111226	193795		36583		47607	96691	80304	73039	95265	65217	50800	58526																														
