metabolite_name	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
DODECENOYLCARNITINE (*) II M+		21581		56055	39809	36693	40035	86980	43846	25030	144748	23210	107821	88034		146902	63443	80729	7350	36441	61389	60817	147060	237563	101829	129307	184941	101974	61408	122738			45227	132242	265525	63593	76895	45500	71361	108337	63723	237472	107334	171968	228568	160468	154689		57054	55266	30679	40018	51927	81809	56252	50113	58879	183871	69045	69846
CORTISOL (M+Na)+					7159	9930					17742	11235				18741	11647	23916					13908	14036				9618	9340	9674				14246	18698					7705		24354				10380	17025	35778				9643	8145					14557	5237	34730
NICOTINAMIDE (M+H)+				15554041	8881959	11198815				4340010	10249723	7673741				8104084	12057296	12280637				8702017	9921383	9473086				10176548	7610437	10419069				13026926	10711403	10081773				15705971	10535492	13242328				11631047	10598515	7246899				12050320	11651182	8543238				16711706	15629669	20252988
TYROSINE (M+H)+	8000678	7841961	9029658	2361446	1471577	1525369	16186154	9733320	15254057	1100848	1215124	1862793	11264291	9589983	11674659	1818644	1652942	1828304	8593169	8075284	7813375	1535813	1530506	1589014	7403942	6562236	7506036	720276	1232645	1692390	7670950	10040011	10018818	1772710	1858008	1314508	9018724	7369541	8952981	2048210	1661381	1680089	9630267	9825402	11689175	1623174	1880697	1769056	10392853	9456912	10371560	1722826	1568350	1718257	10149599	12852362	8609862	2879844	2401950	3584276
IBUPROFEN CARBOXYLIC ACID (M+Na)+								1932189	2830					4226911											20725	19911	22899																16380		1469										9318					
OLEAMIDE (M+H)+	97939	104415	80803	138264	71488	66303	81446	245614	126373	138039	63303	147057	157086	96862	65681	77592	58028	59607	118304	80396	107366	45190	54652	76509	76669	80560	105292	41279	70026	65114	89443	120248	100399	84693	189732	65923	66637	116491	77911	186575	62837	66475	100190	105125	92741	194317	77179		92206	111981	84792	83250	94341	46449	106307	98955	95052	39961	170309	
BILIVERDIN (M+H)+	531039	267764	291433				268890	280577	348934				277187	289942	100611				326193	294985	355745				664029	248603	257979				290427	539473	356247				369380	314011	387621				365655	126358	144636				192683	190713	117079				114807	128351	106334			
ADIPIC ACID (M+Na)+					21867	27064				15721	27243					26495	13767	22784				29785	20950	62762					36438							10358				72870							11844	42034						60609					63737	30391
DIPALMITOYL-GLYCEROL (M+Na)+	5859	6283	11335	529798	432298	407690	13126	3394	10194	299533	594591	338029		8720	8704	385136	548578	608719	4802	7461	15134	328470	605620	447682	49074	37207	35650	508649	381059	762496	15881	16773	23801	715673	663075	509158	50618	37207	33838	564488	479428	523642	9609	12570	17901	396600	513593	218815	19950	8923	19328	344291	476387	366515	22342	22078	12152	1048027	905226	541832
TETRADECENOYLCARNITINE (*) M+				731631	392170	426355				204121	2244708	378877				730467	976178	1214875				575862	1854950	1170139				958183	1024276	2274099				1191153	1807949	905302				1084047	1211167	1140858				1151450	2439037	1233179				320584	606819	655533				2673653	1292186	1907637
