analyte	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
DEHYDROASCORBIC ACID (M-H)-	164371	86231	96678				144731	164391	157483				140415	258807	204962				69457	191803	146839				170157	179826	187257				145918	145504	134289				239775	142328	167128				143958	182007	177702				123179	139058	133408				132862	143932	106248			
5-OXOPROLINE (M-H)-				276319		228323				110413	568309	187039				220372	253636	192205				197853	435393	138130				233615	349347	261191				237813	243773	152222				148821	235790	66246				226915	383762	373584				225837	233038	658617				311603	363281	182006
CITRIC ACID (M-H)-	1573543	2097594	3034337	54728	11571	100890	2401375	2004768	2438919	84397	67218	63771	2136165	2749649	1993569	115165	230410	11826	2744446	2327813	1628697	33422	123967	60647	3257802	2548546	2324768	138226	117271	128037	2973789	7566512	2430942	183354	81139	104947	1929237	2472563	1411860	40815	169081	24919	2261005	2316995	2505619	131700	155222	78985	1463796	1823866	2166415	120897	132060	106372	1969676	1622286	2049349	53457	160400	38464
SUCCINIC ACID (M-H)-	44714	24670	76459	492184	173020	748776	34138	39870	49760	70653	2090499	689680	30237	68224	41732	536153	418452	1472324	33889	28007	49998	939227	1291063	581628	40233	40609	37061	354739	297954	870958	47842	60432	103700	1730861	1182517	1824822	77198	47496	64928	200624	596928	51774	72543	29437	36556	668358	1688510	951173	35096	45548	48359	758044	1851735	1395361	18526	30285	28957	792960	450860	754712
URIDINE (M-H)-	53860	78980	38969		17333		24087	62874	35316	12435	18073	14341	59805	35960	33615	26933	27814	21361	19495	31182	20812	15306		13959	28933	50337	49590	39571	9287	17623	33119	37951	58734		20848	4615	76009	55692	36635	6844	14946	21962	31934	27798	30408	22811	11331	3501	33191	37475	34284	45166	12797	22004	25061	33984	44084	44103	51061	32415
ARACHIDIC ACID (M-H)-	30869	30799	23202	16098	13430	17170	16520	17165	10127	21687	16181	12974	12775	30587	27514	16277	17550	14399	7185	33076	22248	13152	9889	9353	15964	15689	21412	11511	10331	6580	19468	17653	13685	14756	8016	12242	22315	38476	20467	8418	10881	4381	20009	21858	29835	9949	11691	9746	21595	24539	27373	11862	18600	9785	13276	29902	25086	9627	20595	15577
TRANS-ACONITIC ACID (M-H)-	483272	440878	455413			29687	369821	464035	528645		29945	23041	457058	694549	581329	41050	69295	25572	493312	484784	381298	21151	39479	22502	574450	603688	406156	34583	38879	60259	534669	402143	414869	72912	55587	50226	542237	631050	444115	32083	79299		364901	626661	443939	35942	100365	43570	438172	298517	313901	54106	97244	52877	587525	524913	309662	42289	48766	43587
L-TRYPTOPHAN-15N2 [ISTD] (M-H)-	340936	307555	245758	457542	629308	686366	237608	290603	270938	626109	575990	530196	256390	280738	302148	493301	509925	547974	225347	257650	241069	580083	520218	545538	255771	231682	258325	633502	468547	450211	257758	243196	270727	547310	466794	610149	253059	209676	252148	45457	557719	52366	274415	252499	271255	534471	552115	628546	265935	274195	253407	527970	643717	429695	257975	259071	260886	491420	571906	
TRYPTOPHAN (M-H)-	2319558	1973053	1583595				1433320	1370326	1443842				1321526	1267984	1714776				1145098	1221150	1237508				1439945	1154810	1266544				1240198	1262004	1482069				1627368	1119345	1473319				1604729	1373718	1510291				1516337	1451156	1452033				1563909	1817013	1615944			
DOCOSAHEXAENOIC ACID (M-H)-	1232394	766621	787587	25860	15255	31215	566440	577779	204667	15886	29683	12298	629040	1561412	1281859	10659	51671	44693	275693	1082062	391527	26540	23038	12252	751296	602138	854786	33200	16754	19265	673582	1307084	1170288	65075	26547	24782	576749	949286	724662	7883	14319	8102	806668	395131	618024	25273	24343	12637	532778	633730	482142	34599	18771		192639	352293	379061	24755	28542	36785
