MNXM1057	(5-hydroxyindol-3-yl)acetaldehyde	MNXM1057_c;MNXM1057_m	C10H9NO2	175.184	0	chebi:20583;chebi:2070;chebi:50157;bigg:5hoxindact;bigg:M_5hoxindact;deprecated:MNXM2198;deprecated:MNXM90346;hmdb:HMDB04073;kegg:C05634;metacyc:5-HYDROXYINDOLE_ACETALDEHYDE;reactome:380598;reactome:500604;sabiork:8021;seed:cpd03345
MNXM1058	(3R)-hydroxybutanoyl-CoA	MNXM1058_c;MNXM1058_m	C25H38N7O18P3S	849.594	-4	chebi:10879;chebi:10984;chebi:15452;chebi:18667;chebi:323;chebi:57315;deprecated:MNXM10023;deprecated:MNXM90432;deprecated:MNXM90894;hmdb:HMDB01166;hmdb:HMDB02383;kegg:C03561;lipidmaps:LMFA07050148;lipidmaps:LMFA07050213;metacyc:CPD-650;seed:cpd02234;seed:cpd16898;slm:000389933
MNXM105848	O-3-methylbutanoyl-(R)-carnitine	MNXM105848_b;MNXM105848_c;MNXM105848_e	C12H23NO4	245.3153	0	chebi:70819;chebi:73025;bigg:M_ivcrn;bigg:ivcrn;deprecated:MNXM58394;hmdb:HMDB00688;kegg:C20826;lipidmaps:LMFA07070076;lipidmaps:LMFA07070077
MNXM1062	2-acetamido-5-oxopentanoate	MNXM1062_m	C7H10NO4	172.1591	-1	chebi:11493;chebi:12461;chebi:12577;chebi:16319;chebi:21551;chebi:29123;chebi:7152;bigg:M_acg5sa;bigg:acg5sa;hmdb:HMDB06488;kegg:C01250;metacyc:CPD-469;sabiork:2267;seed:cpd00918
MNXM10631	all-trans-4-dihydroxyretinoate	MNXM10631_b;MNXM10631_c;MNXM10631_n	C20H27O3	315.4271	-1	chebi:134178;chebi:63795;deprecated:MNXM1267;deprecated:MNXM93127;hmdb:HMDB06254;kegg:C16677;lipidmaps:LMPR01090025;reactome:215584;sabiork:21139;seed:cpd16475
MNXM10654	G1m8mpdol U	MNXM10654_r	C1785H2940N20O670P20			bigg:M_g1m8mpdol_U;bigg:g1m8mpdol_U
MNXM10659	M1mpdol U	MNXM10659_c	C1305H2140N20O270P20			bigg:M_m1mpdol_U;bigg:m1mpdol_U
MNXM10720	Antipyrene	MNXM10720_b;MNXM10720_c;MNXM10720_e	C11H12N2O		0	bigg:M_antipyrene;bigg:antipyrene
MNXM107637	pentadecanoyl-CoA	MNXM107637_c;MNXM107637_m	C36H60N7O17P3S	987.887	-4	chebi:74309;chebi:74574;hmdb:HMDB62518;metacyc:CPD-14724;slm:000000630
MNXM10780	docosanoyl-CoA	MNXM10780_c;MNXM10780_x	C43H74N7O17P3S	1086.073	-4	chebi:65059;chebi:65088;bigg:M_docoscoa;bigg:docoscoa;deprecated:MNXM51438;deprecated:MNXM93206;hmdb:HMDB12930;kegg:C16528;lipidmaps:LMFA07050289;metacyc:CPD-10279;reactome:5695963;sabiork:20020;seed:cpd16343;slm:000000587
MNXM108	hexadecanoate	MNXM108_b;MNXM108_c;MNXM108_e;MNXM108_l;MNXM108_r;MNXM108_x	C16H31O2	255.4167	-1	chebi:14730;chebi:15756;chebi:231736;chebi:233028;chebi:24540;chebi:24541;chebi:24542;chebi:24550;chebi:29889;chebi:35978;chebi:44952;chebi:7896;bigg:M_hdca;bigg:hdca;deprecated:MNXM89645;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/dc7314a1-8e9a-410f-be4f-f7d8bf32b1cb;hmdb:HMDB00220;hmdb:HMDB60083;kegg:C00249;kegg:D05341;lipidmaps:LMFA01010001;metacyc:PALMITATE;reactome:2453691;reactome:3632881;reactome:390435;reactome:426576;reactome:5690516;reactome:76168;sabiork:1990;seed:cpd00214;slm:000000510
MNXM10806	Mpdol U	MNXM10806_c	C1245H2040N20O220P20			bigg:M_mpdol_U;bigg:mpdol_U
MNXM1083	ferricytochrome b5	MNXM1083_c				chebi:14238;chebi:14243;chebi:18097;chebi:5025;bigg:M_ficytb5;bigg:ficytb5;deprecated:MNXM96485;deprecated:MNXM96502;kegg:C00996;metacyc:FERRICYTOCHROME-B5;reactome:4085425;sabiork:2207;seed:cpd11795;seed:cpd27029
MNXM1084	ferrocytochrome b5	MNXM1084_c				chebi:14251;chebi:16518;chebi:5037;bigg:M_focytb5;bigg:focytb5;deprecated:MNXM168990;deprecated:MNXM96486;deprecated:MNXM96503;kegg:C00999;metacyc:FERROCYTOCHROME-B5;reactome:4085415;sabiork:20057;sabiork:2210;seed:cpd11797;seed:cpd27031
MNXM10881	CO	MNXM299_b;MNXM299_c;MNXM299_e	CO	28.0101	0	chebi:13281;chebi:17245;chebi:23013;chebi:3282;chebi:41526;chebi:58072;bigg:M_co;bigg:co;deprecated:MNXM299;deprecated:MNXM90082;deprecated:MNXM90162;deprecated:MNXM90407;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/a0a5ff93-8a43-48da-aab5-cef2c628da42;hmdb:HMDB01361;kegg:C00237;kegg:D03398;kegg:D09706;metacyc:CARBON-MONOXIDE;reactome:189385;sabiork:1987;seed:cpd00204
MNXM1089	P(1),P(4)-bis(5'-adenosyl) tetraphosphate	MNXM1089_c	C20H24N10O19P4	832.3574	-4	chebi:12726;chebi:12729;chebi:17422;chebi:21998;chebi:58141;chebi:7875;bigg:M_ap4a;bigg:ap4a;deprecated:MNXM510827;deprecated:MNXM66267;hmdb:HMDB01211;hmdb:HMDB06502;kegg:C01260;metacyc:ADENOSYL-P4;sabiork:1707;seed:cpd00924
MNXM10930	Xolest2 hs	MNXM10930_b;MNXM10930_c;MNXM10930_e	C27H45R2CO2			bigg:M_xolest2_hs;bigg:xolest2_hs
MNXM10936	Cs a deg1	MNXM10936_l	C45H68N2O43S2		-4	bigg:M_cs_a_deg1;bigg:cs_a_deg1
MNXM10937	Cs a deg4	MNXM10937_l	C31H49NO29S		-2	bigg:M_cs_a_deg4;bigg:cs_a_deg4
MNXM10938	Cs a deg5	MNXM10938_l	C23H36O24S		-2	bigg:M_cs_a_deg5;bigg:cs_a_deg5
MNXM10939	Cs b pre4	MNXM10939_g	C45H67N2O42S2X		-4	bigg:M_cs_b_pre4;bigg:cs_b_pre4
MNXM10940	Cs b pre5	MNXM10940_g	C45H66N2O45S3X		-5	bigg:M_cs_b_pre5;bigg:cs_b_pre5
MNXM10941	Cs b deg1	MNXM10941_l	C45H67N2O46S3		-5	bigg:M_cs_b_deg1;bigg:cs_b_deg1
MNXM10942	Cs b deg3	MNXM10942_l	C37H55NO38S2		-4	bigg:M_cs_b_deg3;bigg:cs_b_deg3
MNXM10943	Cs c deg1	MNXM10943_l	C45H68N2O43S2		-4	bigg:M_cs_c_deg1;bigg:cs_c_deg1
MNXM10944	Cs c deg4	MNXM10944_l	C31H49NO29S		-2	bigg:M_cs_c_deg4;bigg:cs_c_deg4
MNXM10945	Cs c pre2	MNXM10945_g	C37H54NO37S2X		-4	bigg:M_cs_c_pre2;bigg:cs_c_pre2
MNXM10946	Cs c pre3	MNXM10946_g	C45H67N2O42S2X		-4	bigg:M_cs_c_pre3;bigg:cs_c_pre3
MNXM10947	Cs d pre2	MNXM10947_g	C31H46NO34S3X		-4	bigg:M_cs_d_pre2;bigg:cs_d_pre2
MNXM10948	Cs d deg1	MNXM10948_l	C45H66N2O49S4		-6	bigg:M_cs_d_deg1;bigg:cs_d_deg1
MNXM10949	Cs d deg3	MNXM10949_l	C37H54NO41S3		-5	bigg:M_cs_d_deg3;bigg:cs_d_deg3
MNXM10950	Cs d deg5	MNXM10950_l	C31H48NO32S2		-3	bigg:M_cs_d_deg5;bigg:cs_d_deg5
MNXM10951	Cs d pre3	MNXM10951_g	C37H53NO40S3X		-5	bigg:M_cs_d_pre3;bigg:cs_d_pre3
MNXM10952	Cs d pre4	MNXM10952_g	C45H66N2O45S3X		-5	bigg:M_cs_d_pre4;bigg:cs_d_pre4
MNXM10953	Cs d pre5	MNXM10953_g	C45H65N2O48S4X		-6	bigg:M_cs_d_pre5;bigg:cs_d_pre5
MNXM10954	Cs e deg1	MNXM10954_l	C45H65N2O52S5		-7	bigg:M_cs_e_deg1;bigg:cs_e_deg1
MNXM10955	Cs e deg2	MNXM10955_l	C45H66N2O49S4		-6	bigg:M_cs_e_deg2;bigg:cs_e_deg2
